scenario,model,early_entropy,logprob_variance,mean_logprob,verbalized_final,confidence_gradient,n_steps,n_tool_calls,mcp_error_ratio,mcp_error_count,loop_ratio,n_unique_actions,reached_finish,obs_mean_len,obs_max_len,n_observations,usable_token,usable_verbalized,usable_structural,usable_mcp_error,usable_observation,y,verbalized_posthoc
pdm_safety_001,openai_meta-llama_Llama-3.3-70B-Instruct-Turbo,0.041258187719382076,0.017374011308218407,-0.037615360672211634,,,8.0,4.0,,,0.5,2.0,0.0,260.125,471.0,8.0,True,False,True,False,True,0,0.0
pdm_safety_002,openai_meta-llama_Llama-3.3-70B-Instruct-Turbo,,0.008642530240850951,-0.019733407242879402,,,8.0,4.0,,,0.75,1.0,0.0,266.0,471.0,8.0,True,False,True,False,True,0,0.0
pdm_safety_003,openai_meta-llama_Llama-3.3-70B-Instruct-Turbo,,0.010239939737234248,-0.02540848263176471,,,8.0,2.0,,,0.5,1.0,0.0,376.5,471.0,8.0,True,False,True,False,True,1,0.2
pdm_safety_004,openai_meta-llama_Llama-3.3-70B-Instruct-Turbo,0.07334496754928632,0.02129615135460059,-0.04887931602905683,,,8.0,8.0,,,0.75,1.0,0.0,51.625,77.0,8.0,True,False,True,False,True,1,0.0
pdm_safety_005,openai_meta-llama_Llama-3.3-70B-Instruct-Turbo,0.0796705568602286,0.02310703885737938,-0.04957181995231155,,,8.0,8.0,,,0.5,3.0,0.0,113.375,471.0,8.0,True,False,True,False,True,1,0.0
pdm_safety_006,openai_meta-llama_Llama-3.3-70B-Instruct-Turbo,0.04986202449659893,0.012939795955751416,-0.03056999736742828,,,8.0,8.0,,,0.75,2.0,0.0,51.125,73.0,8.0,True,False,True,False,True,1,0.0
pdm_safety_007,openai_meta-llama_Llama-3.3-70B-Instruct-Turbo,0.06262634363174004,0.028635534408552658,-0.05950459569570617,,,8.0,8.0,,,0.625,2.0,0.0,74.625,114.0,8.0,True,False,True,False,True,1,0.0
pdm_safety_008,openai_meta-llama_Llama-3.3-70B-Instruct-Turbo,0.04757180170396225,0.014947342358939835,-0.03000414194278824,,,8.0,8.0,,,0.625,2.0,0.0,166.25,762.0,8.0,True,False,True,False,True,1,0.0
pdm_safety_009,openai_meta-llama_Llama-3.3-70B-Instruct-Turbo,0.058721857056256224,0.017959221164093153,-0.04073668969985621,,,8.0,8.0,,,0.5,3.0,0.0,60.375,93.0,8.0,True,False,True,False,True,1,0.0
pdm_safety_010,openai_meta-llama_Llama-3.3-70B-Instruct-Turbo,0.04800946799961895,0.017111352582234583,-0.03998450712318482,,,8.0,8.0,,,0.375,2.0,0.0,81.75,103.0,8.0,True,False,True,False,True,1,0.0
engine_health_combined_001,openai_openai_gpt-oss-120b,0.12564810926156544,0.06658619985419599,-0.12639997001694175,,,3.0,1.0,,,0.5,2.0,1.0,471.0,471.0,2.0,True,False,True,False,True,0,
